record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,47175,1000,9965.74902,19199.9453,8.7724909035,-11.2449986826,0,0,
2001,2001,1.0005000,47175,1000,9961.18066,19199.1035,4.58081404479,-10.3720807044,0,0,
2002,2002,1.0010000,47176,1001,9958.41699,19201.3887,2.00722332837,-3.84246187586,0,0,
2003,2003,1.0015000,47176,1001,9958.53711,19203.9121,1.44536047938,2.3141212905,0,0,
2004,2004,1.0020000,47177,1002,9956.85449,19203.6719,0.274111016704,4.36881290863,0,0,
2005,2005,1.0025000,47177,1002,9955.41113,19206.918,-0.768944938801,5.82703185476,0,0,
2006,2006,1.0030000,47178,1003,9957.45508,19206.6777,1.37231691673,4.59261425163,0,0,
2007,2007,1.0035000,47178,1003,9957.5752,19206.918,0.865753303991,5.04870773176,0,0,
2008,2008,1.0040000,47179,1004,9954.81055,19205.3535,-0.411108187585,4.79825506041,0,0,
2009,2009,1.0045000,47179,1004,9954.57031,19204.9941,0.121942487995,2.85061460986,0,0,
2010,2010,1.0050000,47180,1005,9958.77734,19202.5898,5.2726255697,0.154223435457,0,0,
2011,2011,1.0055000,47180,1005,9958.53711,19198.9844,4.93451028388,-2.80057898471,0,0,
2012,2012,1.0060000,47181,1006,9956.97363,19195.377,3.71060374534,-6.3224601154,0,0,
2013,2013,1.0065000,47181,1006,9957.81543,19198.623,4.21300724112,-1.91047190659,0,0,
2014,2014,1.0070000,47182,1007,9955.77246,19199.8262,1.76998536446,1.82785034104,0,0,
2015,2015,1.0075000,47182,1007,9953.24805,19197.541,-0.351606067047,2.70244282146,0,0,
2016,2016,1.0080000,47183,1008,9955.05078,19199.4648,1.9409547584,5.73733178409,0,0,
2017,2017,1.0085000,47183,1008,9953.48828,19200.7871,1.19370040406,6.51946674234,0,0,
2018,2018,1.0090000,47184,1009,9957.5752,19202.2285,4.69246979333,7.47768423713,0,0,
