record_index,byte_offset,sample_seq,time_s,device_id,accel_x_raw,accel_x_g,accel_y_raw,accel_y_g,accel_z_raw,accel_z_g,gyro_x_raw,gyro_x_dps,gyro_y_raw,gyro_y_dps,gyro_z_raw,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_x_deg,angle_y_raw,angle_y_deg,angle_z_raw,angle_z_deg,battery_raw,battery_voltage
24,920,2345581,0.0115,0,0,0.0,-22,-0.0107421875,2099,1.02490234375,-5,-0.30517578125,-15,-0.91552734375,5,0.30517578125,-8263,-3943,104,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
36,1359,2345592,0.017,1,-8,-0.00390625,-16,-0.0078125,2058,1.0048828125,-1,-0.06103515625,-14,-0.8544921875,-1,-0.06103515625,-1401,-5256,-4155,-681,-3.7408447265625,-847,-4.6527099609375,-6620,-36.36474609375,407,4.07
46,1724,2345601,0.0215,0,0,0.0,-17,-0.00830078125,2102,1.0263671875,-5,-0.30517578125,-12,-0.732421875,6,0.3662109375,-8310,-3932,117,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
48,1793,2345602,0.022,1,-9,-0.00439453125,-21,-0.01025390625,2059,1.00537109375,-3,-0.18310546875,-14,-0.8544921875,-2,-0.1220703125,-1414,-5302,-4209,-678,-3.724365234375,-842,-4.625244140625,-6620,-36.36474609375,407,4.07
51,1899,2345604,0.023,2,6,0.0029296875,-21,-0.01025390625,2075,1.01318359375,-2,-0.1220703125,-4,-0.244140625,9,0.54931640625,-2928,5072,13358,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
62,2301,2345614,0.028,0,-1,-0.00048828125,-23,-0.01123046875,2101,1.02587890625,-6,-0.3662109375,-15,-0.91552734375,4,0.244140625,-8306,-3908,148,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
65,2407,2345616,0.029,1,-8,-0.00390625,-14,-0.0068359375,2058,1.0048828125,0,0.0,-13,-0.79345703125,-3,-0.18310546875,-1400,-5315,-4212,-675,-3.7078857421875,-838,-4.603271484375,-6620,-36.36474609375,407,4.07
68,2513,2345618,0.03,2,5,0.00244140625,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2944,5080,13377,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
79,2915,2345628,0.035,0,1,0.00048828125,-21,-0.01025390625,2098,1.0244140625,-7,-0.42724609375,-16,-0.9765625,5,0.30517578125,-8292,-3885,177,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
82,3021,2345630,0.036,1,-7,-0.00341796875,-17,-0.00830078125,2063,1.00732421875,-3,-0.18310546875,-14,-0.8544921875,-3,-0.18310546875,-1404,-5316,-4174,-675,-3.7078857421875,-838,-4.603271484375,-6620,-36.36474609375,406,4.06
