record_index,byte_offset,sample_seq,time_s,adc_raw_ch01,adc_raw_ch02,adc_raw_ch03,adc_raw_ch04,adc_raw_ch05,adc_raw_ch06,adc_raw_ch07,adc_raw_ch08,adc_raw_ch09,adc_raw_ch10,adc_raw_ch11,adc_raw_ch12,adc_raw_ch13,adc_raw_ch14,adc_raw_ch15,adc_raw_ch16,adc_volts_ch01,adc_volts_ch02,adc_volts_ch03,adc_volts_ch04,adc_volts_ch05,adc_volts_ch06,adc_volts_ch07,adc_volts_ch08,adc_volts_ch09,adc_volts_ch10,adc_volts_ch11,adc_volts_ch12,adc_volts_ch13,adc_volts_ch14,adc_volts_ch15,adc_volts_ch16
0,32,195480,0.0,22842,22826,22804,22822,22794,22866,22824,22786,22700,22714,22732,22644,22614,22600,22666,22726,3.48541259765625,3.48297119140625,3.4796142578125,3.48236083984375,3.47808837890625,3.48907470703125,3.482666015625,3.47686767578125,3.4637451171875,3.46588134765625,3.4686279296875,3.4552001953125,3.45062255859375,3.448486328125,3.45855712890625,3.46771240234375
1,69,195481,0.0005,22638,22620,22588,22610,22586,22660,22622,22576,22496,22500,22516,22426,22432,22400,22464,22492,3.45428466796875,3.4515380859375,3.4466552734375,3.45001220703125,3.44635009765625,3.4576416015625,3.45184326171875,3.44482421875,3.4326171875,3.4332275390625,3.4356689453125,3.42193603515625,3.4228515625,3.41796875,3.427734375,3.4320068359375
2,106,195482,0.001,22754,22718,22710,22734,22690,22754,22732,22686,22610,22610,22634,22528,22538,22492,22582,22618,3.47198486328125,3.46649169921875,3.46527099609375,3.46893310546875,3.46221923828125,3.47198486328125,3.4686279296875,3.46160888671875,3.45001220703125,3.45001220703125,3.45367431640625,3.4375,3.43902587890625,3.4320068359375,3.44573974609375,3.45123291015625
3,143,195483,0.0015,22684,22662,22634,22656,22626,22688,22658,22624,22534,22526,22550,22462,22454,22422,22504,22552,3.4613037109375,3.45794677734375,3.45367431640625,3.45703125,3.45245361328125,3.4619140625,3.45733642578125,3.4521484375,3.43841552734375,3.43719482421875,3.44085693359375,3.42742919921875,3.42620849609375,3.42132568359375,3.433837890625,3.441162109375
4,180,195484,0.002,22816,22790,22774,22800,22760,22828,22798,22756,22662,22654,22676,22584,22564,22550,22624,22664,3.4814453125,3.47747802734375,3.47503662109375,3.47900390625,3.472900390625,3.4832763671875,3.47869873046875,3.4722900390625,3.45794677734375,3.45672607421875,3.4600830078125,3.446044921875,3.4429931640625,3.44085693359375,3.4521484375,3.458251953125
5,217,195485,0.0025,23010,22986,22962,23000,22950,23018,23000,22960,22874,22850,22886,22782,22778,22756,22822,22876,3.51104736328125,3.50738525390625,3.50372314453125,3.509521484375,3.50189208984375,3.51226806640625,3.509521484375,3.50341796875,3.49029541015625,3.48663330078125,3.49212646484375,3.47625732421875,3.47564697265625,3.4722900390625,3.48236083984375,3.4906005859375
6,254,195486,0.003,22912,22892,22874,22896,22860,22934,22880,22858,22764,22772,22796,22708,22680,22664,22722,22782,3.49609375,3.4930419921875,3.49029541015625,3.49365234375,3.4881591796875,3.49945068359375,3.4912109375,3.48785400390625,3.4735107421875,3.4747314453125,3.4783935546875,3.4649658203125,3.460693359375,3.458251953125,3.46710205078125,3.47625732421875
7,291,195487,0.0035,22882,22852,22844,22860,22824,22900,22862,22824,22742,22724,22768,22654,22652,22634,22704,22740,3.49151611328125,3.4869384765625,3.4857177734375,3.4881591796875,3.482666015625,3.4942626953125,3.48846435546875,3.482666015625,3.47015380859375,3.4674072265625,3.47412109375,3.45672607421875,3.4564208984375,3.45367431640625,3.46435546875,3.4698486328125
8,328,195488,0.004,23028,23012,22984,22996,22976,23046,23006,22960,22876,22874,22886,22806,22796,22764,22844,22876,3.5137939453125,3.5113525390625,3.507080078125,3.5089111328125,3.505859375,3.51654052734375,3.51043701171875,3.50341796875,3.4906005859375,3.49029541015625,3.49212646484375,3.47991943359375,3.4783935546875,3.4735107421875,3.4857177734375,3.4906005859375
9,365,195489,0.0045,22960,22946,22916,22946,22912,22984,22940,22910,22820,22832,22836,22768,22740,22706,22782,22842,3.50341796875,3.50128173828125,3.4967041015625,3.50128173828125,3.49609375,3.507080078125,3.5003662109375,3.49578857421875,3.4820556640625,3.48388671875,3.4844970703125,3.47412109375,3.4698486328125,3.46466064453125,3.47625732421875,3.48541259765625
10,402,195490,0.005,22874,22848,22840,22854,22824,22898,22860,22826,22734,22712,22742,22648,22652,22620,22694,22744,3.49029541015625,3.486328125,3.485107421875,3.48724365234375,3.482666015625,3.49395751953125,3.4881591796875,3.48297119140625,3.46893310546875,3.465576171875,3.47015380859375,3.455810546875,3.4564208984375,3.4515380859375,3.46282958984375,3.470458984375
11,439,195491,0.0055,22890,22866,22846,22878,22840,22912,22880,22834,22750,22722,22750,22656,22668,22634,22704,22750,3.49273681640625,3.48907470703125,3.48602294921875,3.49090576171875,3.485107421875,3.49609375,3.4912109375,3.48419189453125,3.47137451171875,3.46710205078125,3.47137451171875,3.45703125,3.4588623046875,3.45367431640625,3.46435546875,3.47137451171875
12,476,195492,0.006,22914,22892,22870,22892,22862,22934,22890,22856,22754,22756,22776,22690,22676,22632,22728,22764,3.49639892578125,3.4930419921875,3.48968505859375,3.4930419921875,3.48846435546875,3.49945068359375,3.49273681640625,3.487548828125,3.47198486328125,3.4722900390625,3.475341796875,3.46221923828125,3.4600830078125,3.453369140625,3.468017578125,3.4735107421875
13,513,195493,0.0065,22968,22940,22920,22946,22916,22982,22946,22898,22814,22804,22836,22744,22740,22696,22784,22814,3.504638671875,3.5003662109375,3.497314453125,3.50128173828125,3.4967041015625,3.50677490234375,3.50128173828125,3.49395751953125,3.48114013671875,3.4796142578125,3.4844970703125,3.470458984375,3.4698486328125,3.463134765625,3.4765625,3.48114013671875
14,550,195494,0.007,22950,22934,22910,22930,22908,22972,22940,22898,22822,22806,22834,22744,22732,22698,22778,22814,3.50189208984375,3.49945068359375,3.49578857421875,3.49884033203125,3.4954833984375,3.5052490234375,3.5003662109375,3.49395751953125,3.48236083984375,3.47991943359375,3.48419189453125,3.470458984375,3.4686279296875,3.46343994140625,3.47564697265625,3.48114013671875
15,587,195495,0.0075,22940,22924,22910,22930,22892,22970,22938,22896,22812,22788,22834,22744,22728,22696,22772,22812,3.5003662109375,3.4979248046875,3.49578857421875,3.49884033203125,3.4930419921875,3.50494384765625,3.50006103515625,3.49365234375,3.4808349609375,3.4771728515625,3.48419189453125,3.470458984375,3.468017578125,3.463134765625,3.4747314453125,3.4808349609375
16,624,195496,0.008,22886,22866,22844,22868,22826,22910,22876,22830,22758,22752,22768,22678,22674,22636,22716,22746,3.49212646484375,3.48907470703125,3.4857177734375,3.4893798828125,3.48297119140625,3.49578857421875,3.4906005859375,3.48358154296875,3.47259521484375,3.4716796875,3.47412109375,3.46038818359375,3.45977783203125,3.4539794921875,3.4661865234375,3.47076416015625
17,661,195497,0.0085,22824,22820,22778,22812,22782,22854,22820,22772,22690,22684,22698,22598,22608,22568,22650,22688,3.482666015625,3.4820556640625,3.47564697265625,3.4808349609375,3.47625732421875,3.48724365234375,3.4820556640625,3.4747314453125,3.46221923828125,3.4613037109375,3.46343994140625,3.44818115234375,3.44970703125,3.443603515625,3.45611572265625,3.4619140625
18,698,195498,0.009,23012,22988,22972,22996,22968,23034,23000,22958,22872,22852,22876,22806,22786,22756,22842,22874,3.5113525390625,3.5076904296875,3.5052490234375,3.5089111328125,3.504638671875,3.51470947265625,3.509521484375,3.50311279296875,3.489990234375,3.4869384765625,3.4906005859375,3.47991943359375,3.47686767578125,3.4722900390625,3.48541259765625,3.49029541015625
19,735,195499,0.0095,22984,22958,22940,22962,22924,23000,22952,22924,22844,22834,22840,22772,22744,22732,22794,22848,3.507080078125,3.50311279296875,3.5003662109375,3.50372314453125,3.4979248046875,3.509521484375,3.502197265625,3.4979248046875,3.4857177734375,3.48419189453125,3.485107421875,3.4747314453125,3.470458984375,3.4686279296875,3.47808837890625,3.486328125
20,772,195500,0.01,22922,22900,22884,22906,22868,22936,22910,22866,22762,22776,22796,22708,22680,22666,22724,22786,3.49761962890625,3.4942626953125,3.4918212890625,3.49517822265625,3.4893798828125,3.499755859375,3.49578857421875,3.48907470703125,3.47320556640625,3.475341796875,3.4783935546875,3.4649658203125,3.460693359375,3.45855712890625,3.4674072265625,3.47686767578125
21,809,195501,0.0105,23000,22974,22956,22980,22944,23010,22970,22932,22856,22842,22862,22786,22774,22740,22796,22868,3.509521484375,3.50555419921875,3.5028076171875,3.5064697265625,3.5009765625,3.51104736328125,3.50494384765625,3.4991455078125,3.487548828125,3.48541259765625,3.48846435546875,3.47686767578125,3.47503662109375,3.4698486328125,3.4783935546875,3.4893798828125
22,846,195502,0.011,22968,22936,22908,22944,22910,22978,22942,22896,22816,22816,22836,22754,22738,22700,22784,22820,3.504638671875,3.499755859375,3.4954833984375,3.5009765625,3.49578857421875,3.50616455078125,3.50067138671875,3.49365234375,3.4814453125,3.4814453125,3.4844970703125,3.47198486328125,3.46954345703125,3.4637451171875,3.4765625,3.4820556640625
23,883,195503,0.0115,22946,22924,22906,22936,22888,22970,22930,22890,22810,22788,22830,22742,22724,22696,22772,22806,3.50128173828125,3.4979248046875,3.49517822265625,3.499755859375,3.492431640625,3.50494384765625,3.49884033203125,3.49273681640625,3.48052978515625,3.4771728515625,3.48358154296875,3.47015380859375,3.4674072265625,3.463134765625,3.4747314453125,3.47991943359375
24,920,195504,0.012,22828,22810,22786,22820,22784,22854,22820,22770,22690,22682,22698,22622,22608,22568,22662,22686,3.4832763671875,3.48052978515625,3.47686767578125,3.4820556640625,3.4765625,3.48724365234375,3.4820556640625,3.47442626953125,3.46221923828125,3.46099853515625,3.46343994140625,3.45184326171875,3.44970703125,3.443603515625,3.45794677734375,3.46160888671875
25,957,195505,0.0125,22728,22712,22688,22710,22672,22748,22702,22672,22596,22592,22608,22520,22492,22478,22544,22604,3.468017578125,3.465576171875,3.4619140625,3.46527099609375,3.45947265625,3.4710693359375,3.46405029296875,3.45947265625,3.4478759765625,3.447265625,3.44970703125,3.436279296875,3.4320068359375,3.42987060546875,3.43994140625,3.4490966796875
26,994,195506,0.013,22830,22818,22782,22804,22780,22858,22820,22762,22692,22682,22706,22614,22602,22572,22658,22686,3.48358154296875,3.48175048828125,3.47625732421875,3.4796142578125,3.4759521484375,3.48785400390625,3.4820556640625,3.47320556640625,3.4625244140625,3.46099853515625,3.46466064453125,3.45062255859375,3.44879150390625,3.4442138671875,3.45733642578125,3.46160888671875
27,1031,195507,0.0135,22874,22860,22828,22862,22822,22900,22860,22822,22722,22724,22740,22644,22648,22618,22690,22734,3.49029541015625,3.4881591796875,3.4832763671875,3.48846435546875,3.48236083984375,3.4942626953125,3.4881591796875,3.48236083984375,3.46710205078125,3.4674072265625,3.4698486328125,3.4552001953125,3.455810546875,3.45123291015625,3.46221923828125,3.46893310546875
29,1100,195508,0.014,22918,22896,22878,22900,22864,22936,22888,22862,22760,22776,22794,22710,22676,22638,22730,22782,3.49700927734375,3.49365234375,3.49090576171875,3.4942626953125,3.48876953125,3.499755859375,3.492431640625,3.48846435546875,3.472900390625,3.475341796875,3.47808837890625,3.46527099609375,3.4600830078125,3.45428466796875,3.46832275390625,3.47625732421875
30,1137,195509,0.0145,22862,22844,22828,22852,22816,22874,22852,22808,22724,22720,22738,22658,22628,22608,22692,22732,3.48846435546875,3.4857177734375,3.4832763671875,3.4869384765625,3.4814453125,3.49029541015625,3.4869384765625,3.480224609375,3.4674072265625,3.466796875,3.46954345703125,3.45733642578125,3.4527587890625,3.44970703125,3.4625244140625,3.4686279296875
31,1174,195510,0.015,22942,22924,22898,22936,22888,22966,22926,22886,22814,22788,22822,22720,22724,22692,22778,22802,3.50067138671875,3.4979248046875,3.49395751953125,3.499755859375,3.492431640625,3.50433349609375,3.49822998046875,3.49212646484375,3.48114013671875,3.4771728515625,3.48236083984375,3.466796875,3.4674072265625,3.4625244140625,3.47564697265625,3.47930908203125
