frame_index,host_time_s,status,sd_present,usb_connected,dac_a_volts,dac_b_volts,adc_ch01_volts,adc_ch02_volts,adc_ch03_volts,adc_ch04_volts,adc_ch05_volts,adc_ch06_volts,adc_ch07_volts,adc_ch08_volts,adc_ch09_volts,adc_ch10_volts,adc_ch11_volts,adc_ch12_volts,adc_ch13_volts,adc_ch14_volts,adc_ch15_volts,adc_ch16_volts,emg_ch01_volts,emg_ch02_volts,emg_ch03_volts,emg_ch04_volts,emg_ch05_volts,emg_ch06_volts,emg_ch07_volts,emg_ch08_volts,emg_ch09_volts,emg_ch10_volts,emg_ch11_volts,emg_ch12_volts,emg_ch13_volts,emg_ch14_volts,emg_ch15_volts,emg_ch16_volts,imu0_roll_deg,imu0_pitch_deg,imu0_yaw_deg,imu0_ax_g,imu0_ay_g,imu0_az_g,imu1_roll_deg,imu1_pitch_deg,imu1_yaw_deg,imu1_ax_g,imu1_ay_g,imu1_az_g,imu2_roll_deg,imu2_pitch_deg,imu2_yaw_deg,imu2_ax_g,imu2_ay_g,imu2_az_g,imu3_roll_deg,imu3_pitch_deg,imu3_yaw_deg,imu3_ax_g,imu3_ay_g,imu3_az_g
1,0.234000,0,0,0,-7.52219594e-38,-4.93993425e+21,35.0967102,-1.43908648e+35,-2.17786953e+34,735198464,-1.11738545e-38,-7.29593013e+28,0.123401687,-7.96135391e-39,4.90140271e+11,4.11012908e+17,-4.23620427e-12,-1.16383248e-15,3.31232495e+16,1.50503222e+26,1.19153905e-20,-7.35046503e+36,8.92142025e-33,-1.19820418e-24,-7.35158688e-17,2.70136703e+18,0.000277368701,8.88061691e-22,-5.18946793e+26,4.04055959e-14,-0.0138460603,-4.86878475e-30,-8.21774254e+12,-4.8176798e-19,-3.29305684e-16,-1.6306771e-23,-1.38655977e+32,0.000371133036,-2.14184317e+23,-3.44637135e+14,-8.63365859e-25,3.76728378e-31,-1.53869417e-21,-3.49522937e+34,0.00674306322,2.18697507e-20,3.50230789e+16,7.22264262e+19,4.08282141e-36,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.234000,3,1,1,0,0,3.51104736,3.50799561,3.50372314,3.50952148,3.50250244,3.51470947,3.50799561,3.50280762,3.487854,3.48480225,3.48907471,3.47625732,3.47442627,3.47076416,3.48144531,3.48937988,-0.00190028176,-0.00231099664,-0.00247552246,-0.00204510242,-0.00194258068,-0.00255838316,-0.00166748464,-0.00152685028,-0.00352311204,-0.00357927289,-0.00389589882,-0.00389456796,-0.00326675083,-0.00176218734,-0.00303216558,-0.00234172423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.234000,3,1,1,0,0,3.51135254,3.50738525,3.50463867,3.50921631,3.50250244,3.51501465,3.50952148,3.50280762,3.49182129,3.49029541,3.49365234,3.48022461,3.47930908,3.47320557,3.4854126,3.48999023,-0.000360286795,-0.00102554332,-0.000270695076,-7.69197359e-05,-0.000548130425,-0.000535272004,-0.000909331429,-0.000312928751,0.00233255653,0.00135248597,0.000551660312,0.00109290145,0.00303412788,0.00154158054,0.000913749449,-2.22878443e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.234000,3,1,1,0,0,3.50585938,3.50311279,3.49945068,3.50128174,3.49731445,3.50891113,3.50189209,3.49639893,3.48205566,3.47930908,3.48388672,3.47106934,3.46923828,3.46343994,3.47717285,3.48114014,-0.00600327691,-0.00551631767,-0.00659113657,-0.00728476699,-0.00623439159,-0.00589207839,-0.00612280145,-0.00657467823,-0.0047320216,-0.00567368045,-0.00423556566,-0.00395405479,-0.00457655825,-0.00606051181,-0.00430544,-0.00690322928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.234000,3,1,1,0,0,3.5067749,3.50311279,3.50097656,3.50463867,3.49853516,3.50982666,3.50250244,3.49822998,3.48236084,3.48388672,3.48388672,3.47137451,3.47045898,3.46466064,3.4777832,3.48480225,0.00465104077,0.00479586888,0.00464223232,0.00496481219,0.00452223653,0.00481799897,0.0031262103,0.00458302442,0.00235475227,0.00503671169,0.00188052922,0.00439038593,0.00263587944,0.00240306486,0.00272512692,0.00347237429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.234000,3,1,1,0,0,3.51074219,3.50708008,3.50585938,3.50891113,3.50311279,3.51409912,3.50921631,3.50341797,3.49121094,3.49060059,3.4942627,3.47991943,3.47961426,3.47290039,3.48449707,3.49121094,0.00767803704,0.00723802065,0.00827362202,0.00817906298,0.00753979431,0.00703318371,0.00723234098,0.00787090696,0.00791423023,0.00840720069,0.0103089521,0.00879243668,0.0084496066,0.00835652091,0.00788666122,0.00828269403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.234000,3,1,1,0,0,3.51745605,3.51470947,3.51043701,3.51409912,3.50891113,3.51989746,3.51348877,3.50830078,3.49304199,3.49212646,3.49456787,3.48205566,3.48022461,3.47412109,3.48754883,3.4954834,0.00764998235,0.00806184951,0.00705076242,0.00701700151,0.00794786029,0.00805221032,0.00697662262,0.00651069824,0.00660136482,0.00752365636,0.00635682791,0.00685671624,0.00726559665,0.00590378046,0.00724007515,0.00577165699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.234000,3,1,1,0,0,3.51409912,3.51104736,3.50891113,3.51104736,3.50646973,3.51623535,3.51165771,3.50372314,3.49151611,3.49273682,3.49731445,3.48388672,3.48052979,3.47442627,3.48754883,3.49578857,-0.000881908287,-0.000561398221,0.000398018863,0.000191456988,-0.000796595938,-0.000285826594,-0.000478350004,-5.42207708e-05,0.00144991663,0.000496292836,0.00232362957,0.00251926156,0.00203675008,0.00166584272,0.0012643456,0.00100227376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.234000,3,1,1,0,0,3.50738525,3.5043335,3.50158691,3.50463867,3.49975586,3.50891113,3.50311279,3.49914551,3.48693848,3.48480225,3.48937988,3.47503662,3.47412109,3.47015381,3.47900391,3.48907471,0.00497262739,0.00560645061,0.00490148319,0.00447565969,0.00534296921,0.00431055995,0.00468793279,0.00508806575,0.0043899403,0.00475398544,0.00346439425,0.00463358033,0.00385019043,0.00318147521,0.00484041357,0.00456293812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.234000,3,1,1,0,0,3.51593018,3.51257324,3.50921631,3.51196289,3.50738525,3.5168457,3.51196289,3.50646973,3.49151611,3.49212646,3.49395752,3.48236084,3.48022461,3.47442627,3.4866333,3.49243164,0.00480360584,0.00535870437,0.00526675535,0.00486217951,0.00563458726,0.0050349161,0.00521037402,0.00500047347,0.00500816153,0.00588115072,0.00534322252,0.00597385503,0.0058019408,0.0049557942,0.00578154158,0.00601925002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.234000,3,1,1,0,0,3.51654053,3.5144043,3.51043701,3.51409912,3.50860596,3.52020264,3.51226807,3.50769043,3.49212646,3.49243164,3.49395752,3.48144531,3.47991943,3.47473145,3.48693848,3.4954834,0.00685703568,0.00678576808,0.0066389963,0.00701915147,0.00617986731,0.00613294728,0.00596048497,0.00657776417,0.00488114497,0.00708269468,0.00764929364,0.0061080684,0.00477461144,0.00634682691,0.00577535946,0.00688843802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.234000,3,1,1,0,0,3.51593018,3.51287842,3.50891113,3.51257324,3.50738525,3.51837158,3.51165771,3.5067749,3.49090576,3.49182129,3.49273682,3.48114014,3.47869873,3.47473145,3.48693848,3.49395752,-0.0045048953,-0.00335027487,-0.00466134027,-0.0053086332,-0.00430941535,-0.0034563567,-0.00497244904,-0.00465446385,-0.00426266901,-0.00473337853,-0.00416939938,-0.00383057329,-0.00494740065,-0.00441577984,-0.00410165312,-0.00558190653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.234000,3,1,1,0,0,3.51165771,3.50769043,3.50372314,3.50860596,3.50250244,3.5144043,3.50921631,3.50250244,3.48846436,3.48571777,3.49212646,3.47595215,3.47564697,3.47259521,3.48297119,3.48968506,0.00460079359,0.00294368784,0.00407353649,0.00441586692,0.00384107837,0.00355261099,0.0039647622,0.00462065265,0.00546940044,0.00369727914,0.00567043945,0.00369653292,0.00491808122,0.0061815544,0.00504889851,0.00526164891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.391000,3,1,1,0,0,3.51165771,3.50891113,3.50616455,3.50982666,3.5055542,3.51531982,3.51104736,3.50341797,3.49212646,3.49121094,3.49304199,3.48083496,3.47930908,3.47351074,3.48693848,3.49395752,0.00362364994,0.0040132883,0.00392004801,0.00397347473,0.00425785314,0.00405217987,0.00438273512,0.00318406289,0.00441636611,0.00495299976,0.00380400009,0.00536478497,0.00508060353,0.00382372737,0.00521446066,0.00439521857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.391000,3,1,1,0,0,3.51165771,3.50860596,3.50402832,3.50799561,3.50219727,3.51470947,3.50982666,3.50280762,3.487854,3.4866333,3.48937988,3.4765625,3.4753418,3.47137451,3.48205566,3.48937988,0.00522176037,0.00640512304,0.00538231665,0.0054406561,0.00522565981,0.00608032336,0.00649346923,0.00524963532,0.00438279239,0.00482292986,0.00367126195,0.00334976427,0.00446897047,0.00513217179,0.0053314562,0.0028372691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
